station;year;parameter;25% quantile;median;75% quantile;std_dev;rel_std_dev;outliers;values;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;Spalte18;Spalte19;Spalte20;Spalte21;Spalte22;Spalte23;Spalte24;Spalte25;Spalte26;Spalte27;Spalte28;Spalte29;Spalte30;Spalte31;Spalte32;Spalte33;Spalte34;Spalte35;Spalte36;Spalte37;Spalte38;Spalte39;Spalte40;Spalte41;Spalte42;Spalte43;Spalte44;Spalte45;Spalte46;Spalte47;Spalte48;Spalte49;Spalte50;Spalte51;Spalte52;Spalte53;Spalte54;Spalte55;Spalte56;Spalte57;Spalte58;Spalte59;Spalte60;Spalte61;Spalte62;Spalte63;Spalte64;Spalte65;Spalte66;Spalte67;Spalte68;Spalte69;Spalte70;Spalte71;Spalte72;Spalte73;Spalte74;Spalte75;Spalte76;Spalte77
Brugg;2018;10-11-Dihydroxy-10-11-dihydro-carbamazepin;0.01875;0.0215;0.0285;0.00989531;39.70340427;[0.056];0.031;0.022;0.021;0.025;0.028;0.024;0.019;0.02;0.022;0.021;0.018;0.018;0.015;0.019;0.017;0.018;0.02;0.02;0.023;0.03;0.032;0.014;0.041;0.049;0.056;0.025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;10-11-Dihydroxy-10-11-dihydro-carbamazepin;0.018;0.023;0.02625;0.005418574;23.40248009;[0.04];0.024;0.031;0.04;0.027;0.028;0.026;0.028;0.026;0.028;0.022;0.019;0.018;0.016;0.016;0.018;0.017;0.018;0.016;0.021;0.024;0.026;0.021;0.021;0.023;0.023;0.025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;10-11-Dihydroxy-10-11-dihydro-carbamazepin;0.0175;0.019;0.025;0.004431884;21.38940384;[];0.017;0.026;0.026;0.018;0.019;0.018;0.018;0.022;0.028;0.018;0.02;0.026;0.016;0.016;0.015;0.019;0.016;0.017;0.018;0.027;0.022;0.021;0.019;0.032;0.024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;10-11-Dihydroxy-10-11-dihydro-carbamazepin;0.015;0.018;0.02325;0.006523966;34.75883435;[];0.02;0.019;0.017;0.015;0.018;0.023;0.027;0.024;0.024;0.02;0.016;0.016;0.015;0.011;0.009;0.008;0.009;0.012;0.016;0.015;0.018;0.023;0.027;0.035;0.03;0.021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;10-11-Dihydroxy-10-11-dihydro-carbamazepin;0.016;0.019;0.024;0.004309924;21.50825733;[];0.015;0.016;0.025;0.021;0.014;0.025;0.029;0.025;0.022;0.02;0.018;0.018;0.017;0.016;0.016;0.018;0.018;0.019;0.019;0.016;0.013;0.024;0.022;0.024;0.022;0.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;2-4-D;0;0;0.01;0.007536106;130.625844;[];0;0;0;0.018;0.01;0.007;0;0;0;0;0;0.021;0.017;0.025;0.01;0.015;0.006;0.008;0.008;0.005;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;2-4-D;0;0;0;0.012569864;299.8316167;[0.056];0;0;0;0;0;0;0.056;0.023;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;2-4-D;0.04;0.05;0.085;0.042332021;70.5533683;[];0;0;0.05;0.05;0.06;0.02;0.17;0.13;0.11;0.05;0.04;0.04;0;0.06;0;0.06;0.09;0.13;0.08;0.07;0.04;0.09;0.04;0.05;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;2-4-D;0;0;0;0;0;[];0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;2-4-D;0;0;0;0.00534394;356.2626516;[0.024];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024;0;0;0.015;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;4-und_5-Methylbenzotriazol;0.0815;0.0915;0.1;0.019658475;21.62099569;[0.15];0.074;0.075;0.062;0.089;0.092;0.099;0.085;0.083;0.09;0.083;0.077;0.086;0.072;0.093;0.11;0.11;0.1;0.096;0.11;0.096;0.091;0.039;0.092;0.11;0.15;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;4-und_5-Methylbenzotriazol;0.069;0.0875;0.1;0.021711973;24.15538267;[];0.087;0.13;0.14;0.13;0.12;0.1;0.1;0.097;0.1;0.085;0.066;0.065;0.061;0.063;0.07;0.06;0.088;0.062;0.079;0.081;0.094;0.083;0.087;0.097;0.093;0.099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;4-und_5-Methylbenzotriazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;4-und_5-Methylbenzotriazol;0;0;0.0115;0.008254459;175.9147017;[];0;0;0.013;0.011;0;0;0;0;0.022;0.016;0;0.019;0.028;0.013;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;4-und_5-Methylbenzotriazol;0.03;0.055;0.0625;0.02573189;47.78779624;[0.15];0.03;0.05;0.06;0.05;0.03;0.03;0.05;0.04;0.03;0.04;0.03;0.03;0.06;0.06;0.08;0.15;0.08;0.06;0.06;0.02;0.03;0.06;0.07;0.06;0.07;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Acesulfam;0.19;0.275;0.4025;0.146764312;48.74645012;[];0.39;0.45;0.37;0.28;0.53;0.35;0.55;0.49;0.44;0.39;0.34;0.22;0.25;0.21;0.14;0.058;0.19;0.15;0.11;0.2;0.19;0.1;0.24;0.3;0.62;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Acesulfam;0.1775;0.22;0.4125;0.120860451;44.19650796;[];0.27;0.45;0.5;0.49;0.36;0.42;0.46;0.42;0.41;0.34;0.28;0.19;0.2;0.18;0.16;0.11;0.18;0.16;0.15;0.16;0.19;0.17;0.2;0.22;0.22;0.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Acesulfam;0;0;0;0.001769068;340.2052983;[0.007, 0.006];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007;0.006;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Acesulfam;0.03;0.04;0.05;0.025607992;56.90664787;[0.16];0.04;0.03;0.16;0.03;0.01;0.06;0.05;0.03;0.02;0.04;0.04;0.04;0.06;0.04;0.05;0.04;0.05;0.04;0.04;0.05;0.04;0.05;0.05;0.05;0.03;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Acesulfam;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Atenolol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Atenolol;0.002;0.003;0.004;0.001787945;54.69006729;[];0.005;0.007;0.007;0.006;0.003;0;0.004;0.005;0.004;0.004;0.003;0.003;0;0.002;0.002;0.002;0.003;0;0.003;0.002;0.004;0.003;0.003;0.003;0.003;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Atenolol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Atenolol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Atenolol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Atrazin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Atrazin;0;0.002;0.003;0.001469613;90.97606274;[];0.003;0.003;0.004;0.003;0.003;0.003;0;0.003;0.004;0.002;0.003;0.002;0.003;0;0.002;0;0;0;0.002;0;0;0;0;0;0.002;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Atrazin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Atrazin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Atrazin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Azithromycin;0;0;0;0.007307692;500;[0.038];0;0;0;0;0;0;0;0;0;0;0;0.038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Azithromycin;0;0;0;0.001472128;347.9574402;[0.006, 0.005];0;0;0;0;0.006;0;0;0;0;0;0;0;0;0;0;0;0.005;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Azithromycin;0;0;0;0.000587878;489.8979486;[0.003];0;0;0;0;0;0;0;0;0;0;0;0;0.003;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Azithromycin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Azithromycin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Azoxystrobin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Azoxystrobin;0;0;0;0.000360801;234.520788;[];0;0;0.001;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0;0.001;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Azoxystrobin;0;0.003;0.003;0.001549193;70.41787902;[];0.004;0;0.004;0.004;0.004;0.005;0.003;0.003;0.003;0.002;0.002;0.002;0;0;0;0;0;0;0.002;0.002;0.003;0.003;0.003;0.003;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Azoxystrobin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Azoxystrobin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Bentazon;0;0.0005;0.002;0.0011094;110.9400392;[];0;0;0.001;0;0.001;0.002;0.002;0.002;0.002;0.003;0.002;0.003;0.003;0.002;0;0;0;0;0;0;0;0;0.002;0;0;0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Bentazon;0.001;0.001;0.002;0.000832939;69.85938009;[];0.001;0.001;0.001;0.001;0.001;0.001;0;0.002;0.002;0.002;0.003;0.002;0.003;0.002;0.002;0.001;0.001;0.001;0;0;0;0;0.001;0.001;0.001;0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Bentazon;0;0;0;0.000324962;270.8012802;[];0;0;0;0;0.001;0;0;0.001;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Bentazon;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Bentazon;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Benzothiazol;0.225;0.645;0.9225;0.810099344;101.1651438;[3.9];0.21;0.19;0.15;0.7;0.66;0.63;0.66;0.58;0.69;0.44;0.42;0.97;0.81;0.7;0.31;0.44;0.23;0.19;0.18;0.11;1.8;0.92;2.1;3.9;1.9;0.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Benzothiazol;0.475;0.78;1.075;0.298940516;38.38038008;[];0.79;1.2;1.3;0.95;0.78;0.58;0.47;0.48;0.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Benzothiazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Benzothiazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Benzothiazol;0;0;0.002;0.001206491;112.0313367;[];0.003;0.002;0.003;0.002;0.002;0.003;0.003;0;0;0;0;0;0;0;0;0;0;0;0.002;0;0;0;0.002;0.002;0.002;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Benzotriazol;0.1775;0.19;0.22;0.045345485;22.93740491;[];0.14;0.17;0.11;0.16;0.2;0.22;0.22;0.2;0.19;0.19;0.18;0.18;0.16;0.2;0.18;0.19;0.21;0.19;0.22;0.24;0.19;0.11;0.27;0.27;0.32;0.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Benzotriazol;0.1575;0.17;0.205;0.048935412;26.07214578;[];0.19;0.28;0.26;0.24;0.22;0.2;0.2;0.2;0.32;0.27;0.16;0.13;0.16;0.14;0.14;0.14;0.17;0.13;0.16;0.19;0.17;0.15;0.17;0.16;0.16;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Benzotriazol;0;0;0;0.0004;200;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0.001;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Benzotriazol;0.002;0.003;0.003;0.000811347;29.71130015;[0.0];0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.002;0.003;0.003;0.004;0.003;0.002;0.002;0.002;0.002;0.003;0.003;0.002;0.002;0;0.003;0.004;0.003;0.004;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Benzotriazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Benzotriazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Bezafibrat;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Bezafibrat;0;0;0.002;0.001224141;117.8802257;[];0.002;0.003;0.003;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Bezafibrat;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Bezafibrat;0;0;0.001;0.000795698;172.4013405;[0.003];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0.001;0.001;0.001;0.001;0.002;0.001;0.002;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Bezafibrat;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Boscalid;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Boscalid;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Boscalid;0.002;0.002;0.003;0.000894427;37.26779962;[];0.002;0.003;0.004;0.004;0.004;0.004;0.003;0.003;0.003;0.002;0.002;0.002;0.002;0.002;0.002;0.001;0.001;0.001;0.002;0.002;0.002;0.002;0.002;0.002;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Boscalid;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Boscalid;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2018;Carbamazepin;0.008;0.009;0.011;0.002664694;27.27639067;[];0.007;0.008;0.006;0.01;0.009;0.009;0.009;0.008;0.009;0.009;0.008;0.009;0.008;0.01;0.01;0.005;0.011;0.011;0.011;0.013;0.012;0.006;0.016;0.013;0.016;0.011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2019;Carbamazepin;0.008;0.009;0.01;0.001453928;16.08600695;[];0.009;0.011;0.012;0.01;0.011;0.008;0.01;0.01;0.012;0.008;0.009;0.007;0.007;0.007;0.008;0.008;0.009;0.008;0.01;0.011;0.009;0.008;0.008;0.009;0.008;0.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2020;Carbamazepin;0.0025;0.003;0.003;0.000627375;21.48546184;[];0.003;0.003;0.004;0.004;0.004;0.004;0.003;0.003;0.003;0.003;0.003;0.003;0.002;0.003;0.002;0.002;0.002;0.002;0.002;0.003;0.003;0.003;0.003;0.003;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2021;Carbamazepin;0;0;0;0.000192308;500;[0.001];0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brugg;2022;Carbamazepin;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
