station;year;parameter;25% quantile;median;75% quantile;std_dev;rel_std_dev;outliers;values;Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;Spalte18;Spalte19;Spalte20;Spalte21;Spalte22;Spalte23;Spalte24;Spalte25;Spalte26;Spalte27;Spalte28;Spalte29;Spalte30;Spalte31;Spalte32;Spalte33;Spalte34;Spalte35;Spalte36;Spalte37;Spalte38;Spalte39;Spalte40;Spalte41;Spalte42;Spalte43;Spalte44;Spalte45;Spalte46;Spalte47;Spalte48;Spalte49;Spalte50;Spalte51;Spalte52;Spalte53;Spalte54;Spalte55;Spalte56;Spalte57;Spalte58;Spalte59;Spalte60;Spalte61;Spalte62;Spalte63;Spalte64;Spalte65;Spalte66;Spalte67;Spalte68;Spalte69;Spalte70;Spalte71;Spalte72;Spalte73;Spalte74;Spalte75;Spalte76;Spalte77
Porte du Scex;2018;2-4-D;0;0;0.01;0.0055871;111.7419998;[];0.009;0.011;0.013;0.007;0.009;0;0.01;0.008;0;0.007;0.009;0.009;0.008;0.014;0.008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.008;0;0;0.011;0.01;0;0;0.009;0.011;0.014;0.015;0.013;0.013;0.015;0.014;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;2-4-D;0.004;0.007;0.01;0.003332327;45.3995438;[];0.015;0.01;0.009;0.007;0.009;0.01;0.01;0.011;0.01;0.014;0.012;0.01;0.01;0.009;0.01;0.012;0.009;0.009;0.007;0.007;0.005;0.003;0.003;0.002;0.002;0.002;0;0.004;0.003;0.004;0.004;0.004;0.003;0.004;0.004;0.007;0.007;0.007;0.01;0.01;0.009;0.005;0.007;0.006;0.009;0.007;0.01;0.007;0.009;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2020;2-4-D;0.004;0.006;0.008;0.002384269;39.99924255;[];0.011;0.008;0.007;0.004;0.008;0.006;0.008;0.009;0.009;0;0.008;0.007;0.007;0.008;0.008;0.006;0.006;0.005;0.004;0.003;0.003;0.003;0.004;0.004;0.004;0.003;0.003;0.003;0.003;0.004;0.004;0.004;0.003;0.005;0.004;0.006;0.006;0.007;0.005;0.007;0.008;0.009;0.009;0.009;0.008;0.009;0.007;0.005;0.006;0.006;0.011;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;2-4-D;0.004;0.006;0.008;0.002546841;39.5472233;[];0.012;0.006;0.006;0.006;0.007;0.006;0.006;0.008;0.008;0.007;0.009;0.01;0.012;0.01;0.009;0.011;0.011;0.009;0.008;0.006;0.005;0.006;0.004;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.003;0.004;0.003;0.005;0.004;0.005;0.005;0.004;0.005;0.007;0.008;0.009;0.008;0.006;0.006;0.006;0.007;0.007;0.007;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;2-4-D;0.004;0.007;0.009;0.003083826;46.75188697;[];0.011;0.012;0.008;0.007;0.007;0.009;0.011;0.01;0.009;0.009;0.01;0.009;0.011;0.008;0.01;0.009;0.007;0.007;0.006;0.004;0.003;0.003;0.003;0.004;0;0.003;0.002;0.003;0.003;0.003;0.004;0.003;0.003;0.004;0.004;0.004;0.004;0.006;0.007;0.005;0.005;0.008;0.007;0.005;0.01;0.011;0.01;0.014;0.007;0.007;0.006;0.008;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2018;4-und_5-Methylbenzotriazol;0;0;0;0.105928516;286.0069929;[0.4];0.3;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2019;4-und_5-Methylbenzotriazol;0;0;0;0.10784673;207.7048132;[];0;0;0;0.25;0.3;0.3;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2021;4-und_5-Methylbenzotriazol;0;0;0;0;0;[];0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2022;4-und_5-Methylbenzotriazol;0;0;0.07;0.051898362;135.1519849;[];0;0;0;0;0;0.11;0.06;0;0;0;0.06;0.13;0;0;0;0.07;0.06;0;0.07;0.13;0.16;0.11;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porte du Scex;2020;Acesulfam;0.01;0.02;0.03;0.033008801;112.9831437;[0.13];0;0.01;0;0;0.02;0.02;0.03;0.03;0.02;0.09;0.01;0.03;0.13;0.12;0.06;0.1;0.11;0.09;0.08;0.01;0.03;0;0.03;0.02;0;0;0;0;0;0.04;0.02;0.01;0.02;0.03;0.01;0.01;0.01;0.01;0.02;0.03;0.02;0.02;0.02;0.03;0.06;0.03;0.03;0.01;0;0;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;
